대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
102639,삼합장과,복합식품,부식,장아찌류,기타,1
102640,소골국,복합식품,부식,국류,기타,1
102641,소골찜,복합식품,부식,찜류,찜,1
102642,소골탕,복합식품,부식,국류,탕류,1
102645,소국주,복합식품,주류,양조곡주,순곡주류,23
102646,소금,단일식품,조미식,양념류,양념류,25
102649,소금구이,복합식품,부식,구이류,구이,1
102650,소금깍두기,복합식품,부식,김치,무김치,1
102651,소금물,단일식품,부식,국류,탕류,2
102652,소금수란,복합식품,부식,회류,숙란,1
102655,소꼬리국,복합식품,부식,국류,기타,1
102656,소꼬리찜,복합식품,부식,찜류,찜,2
102657,소꿀찰떡,복합식품,기호식,떡류,찐떡,1
102664,소나무주,복합식품,주류,양조곡주,혼양곡주류,8
102667,소내장수육,복합식품,기타,기타,기타,1
102668,소내포볶음,복합식품,부식,찜류,볶음,1
102669,소두천세고주,복합식품,주류,기타,기타,1
102671,소라구이,복합식품,부식,구이류,구이,1
102673,소라죽,복합식품,주식,죽류,죽,1
102676,소루쟁이국,복합식품,기타,기타,기타,3
102681,소만두과,복합식품,기호식,한과류,유밀과,2
102682,소맥,단일식품,기타,기타,기타,1
102683,소맥고주,복합식품,조미식,양념류,양념류,1
102685,소맥탕,복합식품,부식,국류,탕류,1
102687,소머리떡,복합식품,기호식,떡류,찐떡,1
102688,소머리편육,복합식품,부식,회류,편육,2
102689,소무릎뿌리술,복합식품,주류,기타,기타,1
102690,소반찬,복합식품,부식,구이류,전,1
102691,소발곰탕,복합식품,부식,국류,곰국,1
102692,소변치료탕,복합식품,기타,기타,기타,1
102693,소병,복합식품,기호식,떡류,기타,2
102696,소비름말림,복합식품,기타,기타,기타,1
102698,소비름죽,복합식품,주식,죽류,죽,1
102699,소비름청,복합식품,기호식,한과류,기타,1
102700,소뼈국,복합식품,부식,국류,곰국,1
102701,소서주,복합식품,주류,양조곡주,순곡주류,1
102703,소순대,복합식품,부식,찜류,찜,1
102705,소양,복합식품,기타,기타,기타,2
102706,소양식해,복합식품,부식,젓갈류,식해,1
102707,소양죽,복합식품,주식,죽류,죽,1
102708,소양찜,복합식품,부식,찜류,찜,1
102709,소연사과,복합식품,기호식,한과류,유과,3
102711,소위,복합식품,기타,기타,기타,1
102713,소위볶음,복합식품,기타,기타,기타,2
102714,소위식해,복합식품,부식,젓갈류,식해,1
102715,소위전,복합식품,부식,구이류,전유어,4
102717,소위조림,복합식품,부식,찜류,볶음,1
102718,소위즙,복합식품,주식,죽류,즙,1
102719,소위찜,복합식품,부식,찜류,찜,1
102720,소위편,복합식품,부식,회류,편육,1
102721,소유,복합식품,조미식,양념류,양념류,3
102723,소유병,복합식품,기호식,떡류,기타,1
102724,소자주,복합식품,주류,양조곡주,혼양곡주류,5
102725,소잡탕,복합식품,부식,국류,탕류,1
102726,소정,복합식품,부식,구이류,전,1
102728,소주,복합식품,주류,증류주,약용증류주,30
102731,소주온미,복합식품,기호식,음청류,음료류,1
102733,소주특방,복합식품,주류,증류주,순곡증류주,1
102734,소찬삼전편,복합식품,부식,구이류,전,1
102735,소채,복합식품,부식,나물류,숙채,1
102736,소천어탕,복합식품,부식,국류,탕류,1
102741,소합떡,복합식품,기호식,떡류,찐떡,1
102742,소행인,복합식품,기타,기타,기타,1
102744,소혀와 소신장,복합식품,기타,기타,기타,1
102745,소혀찜,복합식품,부식,찜류,찜,2
102746,소혀편육,복합식품,부식,회류,편육,1
102747,소흥주,복합식품,주류,기타,기타,1
102748,속대장아찌,복합식품,부식,장아찌류,장아찌,1
102749,속대짠지,복합식품,부식,김치,배추김치,1
102750,속대찜,복합식품,부식,찜류,찜,1
102751,속미음,복합식품,주식,죽류,미음,2
102752,속미주,복합식품,주류,양조곡주,순곡주류,2
102753,속젓,복합식품,부식,젓갈류,발효젓,1
102755,손국수,복합식품,주식,면류,국수,3
102756,손신,복합식품,부식,회류,편육,1
102758,솔방울구이,복합식품,부식,구이류,구이,1
102761,솔잎,단일식품,기타,기타,기타,2
102765,솔잣정과,복합식품,기호식,한과류,정과,1
102767,송국주,복합식품,주류,양조곡주,혼양곡주류,1
102768,송기개피떡,복합식품,기호식,떡류,기타,2
102769,송기떡,복합식품,기호식,떡류,친떡,1
102770,송기송편,복합식품,기호식,떡류,찐떡,2
102771,송령주,복합식품,주류,양조곡주,혼양곡주류,1
102772,송미음,복합식품,주식,죽류,미음,6
102774,송백자,복합식품,기호식,한과류,엿강정,10
102775,송순주,복합식품,주류,양조곡주,혼양곡주류,14
102776,송실정과,복합식품,기호식,한과류,정과,1
102778,송엽주,복합식품,주류,양조곡주,혼양곡주류,6
102781,송이구이,복합식품,부식,구이류,적,4
102782,송이국,복합식품,부식,국류,맑은장국,1
