"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0010","교육/예술/종교","문화시설","미술관","","갤러리나요","갤러리나요","","","서울특별시","성북구","성북동"
"BE_LiST36-0011","교육/예술/종교","문화시설","미술관","","갤러리도스","갤러리도스","","","서울특별시","종로구","삼청동"
"BE_LiST36-0012","교육/예술/종교","문화시설","미술관","","갤러리세줄","갤러리세줄","","","서울특별시","종로구","평창동"
"BE_LiST36-0013","교육/예술/종교","문화시설","미술관","","갤러리수","갤러리수","","","서울특별시","서초구","양재2동"
"BE_LiST36-0014","교육/예술/종교","문화시설","미술관","","갤러리수","갤러리수","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0015","교육/예술/종교","문화시설","미술관","","갤러리시몬","갤러리시몬","","","서울특별시","종로구","사직동"
"BE_LiST36-0016","교육/예술/종교","문화시설","미술관","","갤러리에뽀끄","갤러리에뽀끄","","","서울특별시","종로구","가회동"
"BE_LiST36-0017","교육/예술/종교","문화시설","미술관","","갤러리원","갤러리원","","","서울특별시","강남구","청담동"
"BE_LiST36-0018","교육/예술/종교","문화시설","미술관","","갤러리유로","갤러리유로","","","서울특별시","강남구","신사동"
"BE_LiST36-0019","교육/예술/종교","문화시설","미술관","","갤러리피치","갤러리피치","","","서울특별시","강남구","청담동"
"BE_LiST36-0020","교육/예술/종교","문화시설","미술관","","갤러리피프틴","갤러리피프틴","","","서울특별시","종로구","삼청동"
"BE_LiST36-0021","교육/예술/종교","문화시설","미술관","","갤러리현대","갤러리현대","","","서울특별시","종로구","삼청동"
"BE_LiST36-0022","교육/예술/종교","문화시설","미술관","","갤러리현대","갤러리현대","","","서울특별시","강남구","압구정동"
"BE_LiST36-0023","교육/예술/종교","문화시설","미술관","","겸재정선/기념관","겸재정선기념관","","","서울특별시","강서구","가양1동"
"BE_LiST36-0024","교육/예술/종교","문화시설","미술관","","경인미술관","경인미술관","","","서울특별시","종로구","종로1.2.3.4가동"
